2026-04-02 17:21:44,391 | INFO | Démarrage d'un cycle de trading.
2026-04-02 17:21:47,444 | INFO | News marché récupérées pour le prompt (13 lignes).
2026-04-02 17:21:47,445 | INFO | Couverture news complète: 13/13 tickers.
2026-04-02 17:21:48,182 | INFO | Snapshot live Hyperliquid injecté dans le prompt utilisateur.
2026-04-02 17:22:06,527 | INFO | Réponse xAI reçue (798 caractères).
2026-04-02 17:22:06,792 | INFO | Signal reçu: {'coin': 'NDX', 'signal': 'hold', 'quantity': 0.0, 'leverage': 1, 'stop_loss': 19500.0, 'profit_target': 21000.0, 'confidence': 0.65, 'is_add': False}
2026-04-02 17:22:06,793 | INFO | Coin résolu pour exchange: NDX -> xyz:XYZ100
2026-04-02 17:22:06,793 | INFO | Aucune action pour xyz:XYZ100 (signal hold sans position ouverte).
2026-04-02 17:22:06,793 | INFO | Cycle de trading terminé.
2026-04-02 17:42:43,897 | INFO | Démarrage d'un cycle de trading.
2026-04-02 17:42:46,787 | INFO | News marché récupérées pour le prompt (13 lignes).
2026-04-02 17:42:46,787 | INFO | Couverture news complète: 13/13 tickers.
2026-04-02 17:42:47,531 | INFO | Snapshot live Hyperliquid injecté dans le prompt utilisateur.
2026-04-02 17:43:05,691 | INFO | Réponse xAI reçue (4191 caractères).
2026-04-02 17:48:11,956 | INFO | Démarrage d'un cycle de trading.
2026-04-02 17:48:14,906 | INFO | News marché récupérées pour le prompt (13 lignes).
2026-04-02 17:48:14,906 | INFO | Couverture news complète: 13/13 tickers.
2026-04-02 17:48:15,623 | INFO | Snapshot live Hyperliquid injecté dans le prompt utilisateur.
2026-04-02 17:48:39,526 | INFO | Réponse xAI reçue (3500 caractères).
2026-04-02 17:48:39,852 | INFO | Signal reçu: {'coin': 'NDX', 'signal': 'hold', 'quantity': 0.0, 'leverage': 1, 'stop_loss': 19000.0, 'profit_target': 21000.0, 'confidence': 0.55, 'is_add': False}
2026-04-02 17:48:39,853 | INFO | Coin résolu pour exchange: NDX -> xyz:XYZ100
2026-04-02 17:48:39,854 | INFO | Aucune action pour xyz:XYZ100 (signal hold sans position ouverte).
2026-04-02 17:48:39,854 | INFO | Signal reçu: {'coin': 'TSLA', 'signal': 'hold', 'quantity': 0.0, 'leverage': 1, 'stop_loss': 220.0, 'profit_target': 350.0, 'confidence': 0.35, 'is_add': False}
2026-04-02 17:48:39,855 | INFO | Aucune action pour TSLA (signal hold sans position ouverte).
2026-04-02 17:48:39,855 | INFO | Signal reçu: {'coin': 'NVDA', 'signal': 'hold', 'quantity': 0.0, 'leverage': 1, 'stop_loss': 110.0, 'profit_target': 160.0, 'confidence': 0.65, 'is_add': False}
2026-04-02 17:48:39,855 | INFO | Aucune action pour NVDA (signal hold sans position ouverte).
2026-04-02 17:48:39,855 | INFO | Signal reçu: {'coin': 'MSFT', 'signal': 'hold', 'quantity': 0.0, 'leverage': 1, 'stop_loss': 380.0, 'profit_target': 450.0, 'confidence': 0.7, 'is_add': False}
2026-04-02 17:48:39,856 | INFO | Aucune action pour MSFT (signal hold sans position ouverte).
2026-04-02 17:48:39,856 | INFO | Signal reçu: {'coin': 'GOOGL', 'signal': 'hold', 'quantity': 0.0, 'leverage': 1, 'stop_loss': 150.0, 'profit_target': 200.0, 'confidence': 0.6, 'is_add': False}
2026-04-02 17:48:39,857 | INFO | Aucune action pour GOOGL (signal hold sans position ouverte).
